date_posted,job_title,url,company,employment_type,location,salary,currency,valid_through,jenis_kelamin
2022-10-02T18:00:57+07:00,Perawat Gigi (Audy Dental Bintaro),https://www.jobs.id/lowongan/MTc5MDMy/perawat-gigi-audy-dental-bintaro-audy-mandiri-indonesia-pt?qt_ref=search&qt_page=34&qt_pos=14,Audy Mandiri Indonesia PT,FULL_TIME,Jakarta Selatan,2000000-3000000,IDR,2022-10-13,Pria/Wanita
2022-10-02T15:12:39+07:00,Copywriter,https://www.jobs.id/lowongan/MTY5MzI0/copywriter-rayindo-toropma-abadi-pt?qt_ref=search&qt_page=34&qt_pos=15,Rayindo toropma Abadi PT,FULL_TIME,Depok,3000000-3500000,IDR,2022-10-13,Pria/Wanita
2022-10-02T10:09:36+07:00,Telemarketing,https://www.jobs.id/lowongan/MzIzODg4/telemarketing-utomodeck-metal-works-pt?qt_ref=search&qt_page=34&qt_pos=16,UTOMODECK METAL WORKS PT,FULL_TIME,Surabaya,Negotiable,IDR,2022-10-13,Pria/Wanita
2022-10-02T12:21:01+07:00,Junior Account Executive - Cilacap,https://www.jobs.id/lowongan/MzI1MjUx/junior-account-executive-cilacap-koperasi-simpan-pinjam-sinergi-dana-cipta?qt_ref=search&qt_page=34&qt_pos=17,Koperasi Simpan Pinjam Sinergi Dana Cipta,FULL_TIME,Cilacap,Negotiable,IDR,2022-10-13,Pria/Wanita
2022-10-02T17:04:14+07:00,Merchandiser Serang,https://www.jobs.id/lowongan/MzI1MjA3/merchandiser-serang-sumber-daya-menamas-pt?qt_ref=search&qt_page=34&qt_pos=18,Sumber Daya Menamas PT,FULL_TIME,Serang,3800000-4200000,IDR,2022-10-12,Pria/Wanita
2022-10-02T10:15:08+07:00,Credit Marketing Officer Motor - Karawang,https://www.jobs.id/lowongan/MzI1MTgy/credit-marketing-officer-motor-karawang-mega-central-finance-pt?qt_ref=search&qt_page=34&qt_pos=19,Mega Central Finance. PT,FULL_TIME,Karawang,Negotiable,IDR,2022-10-12,Pria/Wanita
2022-10-02T18:49:52+07:00,IT Support - Jakarta Selatan,https://www.jobs.id/lowongan/MzI1MTY1/it-support-jakarta-selatan-bhakti-satria-persada-pt?qt_ref=search&qt_page=34&qt_pos=20,Bhakti Satria Persada PT,FULL_TIME,Jakarta Selatan,6500000-8000000,IDR,2022-10-12,Pria/Wanita
2022-10-02T18:54:50+07:00,Kasir,https://www.jobs.id/lowongan/MTkwMjYz/kasir-rs-belleza-kedaton-bandar-lampung?qt_ref=search&qt_page=34&qt_pos=21,RS Belleza Kedaton Bandar Lampung,FULL_TIME,Bandar Lampung,Negotiable,IDR,2022-10-12,Pria/Wanita
2022-10-02T17:05:33+07:00,Credit Analyst,https://www.jobs.id/lowongan/MzIzNzcy/credit-analyst-bpr-kredit-mandiri-indonesia-pt?qt_ref=search&qt_page=34&qt_pos=22,BPR Kredit Mandiri Indonesia PT,FULL_TIME,Bandung,3200000-4500000,IDR,2022-10-12,Pria/Wanita
2022-10-02T10:11:59+07:00,School Principal,https://www.jobs.id/lowongan/Mjg1NTM4/school-principal-talenta-sumber-daya-manusia-pt?qt_ref=search&qt_page=34&qt_pos=23,Talenta Sumber Daya Manusia PT,FULL_TIME,Jakarta Barat,10000000-20000000,IDR,2022-10-12,Pria/Wanita
2022-10-02T17:32:24+07:00,Field Collection - Area Kab. Bandung Barat,https://www.jobs.id/lowongan/MzI1MTU5/field-collection-area-kab-bandung-barat-home-credit-indonesia-pt?qt_ref=search&qt_page=35&qt_pos=0,Home Credit Indonesia PT,FULL_TIME,Bandung Barat,Negotiable,IDR,2022-10-11,Pria/Wanita
2022-10-02T10:12:09+07:00,Sales Associate,https://www.jobs.id/lowongan/MzE4Nzg1/sales-associate-evolution?qt_ref=search&qt_page=35&qt_pos=1,Evolution,FULL_TIME,Bekasi,Negotiable,IDR,2022-10-11,Pria/Wanita
